iterations,EU th,EU th time,EU,EU time,Barrier th,Barrier th time,Barrier,Barrier time,Lookback th,Lookback th time,Lookback,Lookback time
1,18.023,0,0,0,15.1816,0,15.1797,0.06,37.7605,0.06,37.6783,0.12
1,18.023,0,0,0,15.1816,0,15.392,0.06,37.7605,0.06,37.9301,0.12
1,18.023,0,0,0,15.1816,0,15.2624,0.06,37.7605,0.06,37.7091,0.12
1,18.023,0,0,0,15.1816,0,15.1504,0.06,37.7605,0.06,37.8121,0.13
1,18.023,0,0,0,15.1816,0,15.158,0.06,37.7605,0.06,37.8847,0.13
1,18.023,0,0,0,15.1816,0,15.191,0.061,37.7605,0.061,37.7911,0.121
1,18.023,0,16.2667,0,15.1816,0,15.2168,0.07,37.7605,0.07,37.6683,0.142
1,18.023,0,92.7386,0,15.1816,0,15.1729,0.061,37.7605,0.061,37.8712,0.128
1,18.023,0,0,0,15.1816,0,15.1378,0.061,37.7605,0.061,37.729,0.121
1,18.023,0,0,0,15.1816,0,15.1867,0.07,37.7605,0.07,37.7909,0.13
1,18.023,0,0,0,15.1816,0,15.1358,0.06,37.7605,0.06,37.65,0.12
1,18.023,0,0,0,15.1816,0,15.2497,0.07,37.7605,0.07,37.9966,0.13
1,18.023,0,0,0,15.1816,0,15.1877,0.06,37.7605,0.06,37.7155,0.12
1,18.023,0,35.586,0,15.1816,0,15.2959,0.056,37.7605,0.056,37.9039,0.128
1,18.023,0,35.1842,0,15.1816,0,15.1565,0.06,37.7605,0.06,37.6299,0.131
1,18.023,0,0,0,15.1816,0,15.3754,0.048,37.7605,0.048,38.0506,0.124
1,18.023,0,0,0,15.1816,0,15.1512,0.062,37.7605,0.062,38.028,0.132
1,18.023,0,0,0,15.1816,0,15.2,0.06,37.7605,0.06,37.8183,0.12
1,18.023,0,0,0,15.1816,0,15.0763,0.06,37.7605,0.06,37.5761,0.13
1,18.023,0,0,0,15.1816,0,15.0856,0.06,37.7605,0.06,37.8291,0.12
1,18.023,0,47.2779,0,15.1816,0,15.27,0.06,37.7605,0.06,37.8056,0.12
1,18.023,0,28.7835,0,15.1816,0,15.0864,0.057,37.7605,0.057,37.7063,0.138
1,18.023,0,0,0,15.1816,0,15.1232,0.07,37.7605,0.07,37.5695,0.13
1,18.023,0,0,0,15.1816,0,15.1589,0.06,37.7605,0.06,37.8123,0.126
1,18.023,0,0,0,15.1816,0,15.1687,0.079,37.7605,0.079,37.9456,0.139
1,18.023,0,0,0,15.1816,0,15.283,0.06,37.7605,0.06,37.6019,0.12
1,18.023,0,0,0,15.1816,0,15.0286,0.06,37.7605,0.06,37.8601,0.12
1,18.023,0,0,0,15.1816,0,15.1001,0.06,37.7605,0.06,37.6585,0.12
1,18.023,0,54.0041,0,15.1816,0,15.178,0.07,37.7605,0.07,37.9342,0.13
1,18.023,0,0,0,15.1816,0,15.1311,0.06,37.7605,0.06,37.8114,0.13
1,18.023,0,0,0,15.1816,0,15.0421,0.062,37.7605,0.062,37.5498,0.113
1,18.023,0,58.2366,0,15.1816,0,15.1793,0.074,37.7605,0.074,37.6244,0.134
1,18.023,0,0,0,15.1816,0,15.1423,0.063,37.7605,0.063,37.8225,0.133
1,18.023,0,55.5724,0,15.1816,0,15.2592,0.06,37.7605,0.06,37.5338,0.12
1,18.023,0,0,0,15.1816,0,15.3259,0.06,37.7605,0.06,37.7795,0.121
1,18.023,0,30.4188,0,15.1816,0,15.2289,0.06,37.7605,0.06,37.5842,0.13
1,18.023,0,0,0,15.1816,0,15.1731,0.06,37.7605,0.06,37.7634,0.12
1,18.023,0,1.07033,0,15.1816,0,15.1215,0.07,37.7605,0.07,37.5665,0.14
1,18.023,0,0,0,15.1816,0,15.09,0.07,37.7605,0.07,37.9129,0.142
1,18.023,0,19.5413,0,15.1816,0,15.1445,0.072,37.7605,0.072,37.8429,0.121
1,18.023,0,45.935,0,15.1816,0,15.0739,0.085,37.7605,0.085,37.8447,0.145
1,18.023,0,0,0,15.1816,0,15.0522,0.06,37.7605,0.06,37.7047,0.12
1,18.023,0,9.86047,0,15.1816,0,15.3048,0.06,37.7605,0.06,37.8461,0.12
1,18.023,0,0,0,15.1816,0,14.9126,0.06,37.7605,0.06,37.5981,0.13
1,18.023,0,27.7884,0,15.1816,0,15.0741,0.06,37.7605,0.06,37.7651,0.13
1,18.023,0,39.4036,0,15.1816,0,15.1698,0.06,37.7605,0.06,37.6616,0.122
1,18.023,0,76.3578,0,15.1816,0,15.5066,0.07,37.7605,0.07,37.6817,0.13
1,18.023,0,0,0,15.1816,0,15.1716,0.062,37.7605,0.062,37.779,0.132
1,18.023,0,24.2321,0,15.1816,0,15.057,0.052,37.7605,0.052,37.6207,0.117
1,18.023,0,22.6472,0,15.1816,0,15.2925,0.06,37.7605,0.06,37.95,0.12
1,18.023,0,79.4549,0,15.1816,0,15.202,0.06,37.7605,0.06,37.766,0.12
1,18.023,0,60.0948,0,15.1816,0,15.0106,0.07,37.7605,0.07,37.6489,0.13
1,18.023,0,34.7169,0,15.1816,0,15.1838,0.06,37.7605,0.06,37.9369,0.133
1,18.023,0,0,0,15.1816,0,15.1464,0.06,37.7605,0.06,37.7151,0.13
1,18.023,0,73.8005,0,15.1816,0,14.9934,0.06,37.7605,0.06,37.724,0.12
1,18.023,0,26.6029,0,15.1816,0,15.0949,0.06,37.7605,0.06,37.7409,0.12
1,18.023,0,42.3398,0,15.1816,0,15.3106,0.07,37.7605,0.07,37.8006,0.13
1,18.023,0,0,0,15.1816,0,15.2286,0.06,37.7605,0.06,37.8118,0.13
1,18.023,0,0,0,15.1816,0,15.1886,0.06,37.7605,0.06,37.8553,0.12
1,18.023,0,29.6408,0,15.1816,0,15.3271,0.07,37.7605,0.07,37.7536,0.13
1,18.023,0,11.7653,0,15.1816,0,15.3006,0.06,37.7605,0.06,37.7052,0.12
1,18.023,0,0,0,15.1816,0,15.1629,0.061,37.7605,0.061,37.8638,0.112
1,18.023,0,60.449,0,15.1816,0,15.1854,0.072,37.7605,0.072,37.8044,0.134
1,18.023,0,0,0,15.1816,0,14.9975,0.06,37.7605,0.06,37.7965,0.12
1,18.023,0,0,0,15.1816,0,15.4359,0.06,37.7605,0.06,37.8455,0.13
1,18.023,0,9.55745,0,15.1816,0,15.1996,0.06,37.7605,0.06,37.7274,0.12
1,18.023,0,0,0,15.1816,0,15.2762,0.06,37.7605,0.06,37.5702,0.13
1,18.023,0,41.3173,0,15.1816,0,15.3068,0.06,37.7605,0.06,37.8443,0.12
1,18.023,0,52.2658,0,15.1816,0,15.0898,0.07,37.7605,0.07,37.6531,0.13
1,18.023,0,15.622,0,15.1816,0,15.1375,0.077,37.7605,0.077,37.7487,0.147
1,18.023,0,0,0,15.1816,0,15.2489,0.047,37.7605,0.047,37.8447,0.121
1,18.023,0,16.2673,0,15.1816,0,15.1594,0.07,37.7605,0.07,37.7087,0.13
1,18.023,0,0,0,15.1816,0,15.2857,0.06,37.7605,0.06,37.935,0.12
1,18.023,0,28.9622,0,15.1816,0,15.1427,0.07,37.7605,0.07,37.7338,0.13
1,18.023,0,0,0,15.1816,0,15.1057,0.06,37.7605,0.06,37.7793,0.12
1,18.023,0,86.6091,0,15.1816,0,15.2692,0.074,37.7605,0.074,37.9249,0.134
