iterations;delta th;delta th time;delta lr;delta lr time;delta pw;delta pw time;gamma th;gamma th time;gamma pwlr;gamma pwlr time;gamma lrpw;gamma lrpw time;gamma lrlr;gamma lrlr time;vega th;vega th time;vega lr;vega lr time;vega pw;vega pw time
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;0;0;1e-06;37.842;1e-06;0;0;0;0
1;0.627409;1e-06;0;1e-06;0;0;0.0094605;1e-06;0;2e-06;0;1e-06;0;1e-06;37.842;1e-06;0;2e-06;0;1e-06
1;0.627409;1e-06;0.206839;2e-06;1.12135;0;0.0094605;1e-06;0.00242028;2e-06;0.0115654;0;-0.0101861;0;37.842;1e-06;-40.7445;1e-06;9.68113;1e-06
1;0.627409;1e-06;0.132446;1e-06;1.08351;0;0.0094605;0;1.37719e-05;2e-06;0.00952438;2e-06;-0.00826569;1e-06;37.842;1e-06;-33.0628;2e-06;0.0550876;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;0;0;0;37.842;2e-06;0;1e-06;0;0
1;0.627409;2e-06;1.23026;1e-06;1.41334;1e-06;0.0094605;1e-06;0.0234932;1e-06;0.025324;1e-06;-0.00843223;2e-06;37.842;2e-06;-33.7289;2e-06;93.9729;2e-06
1;0.627409;2e-06;0.352278;2e-06;1.18045;1e-06;0.0094605;1e-06;0.00633724;1e-06;0.014619;1e-06;-0.0124351;2e-06;37.842;2e-06;-49.7404;2e-06;25.349;2e-06
1;0.627409;2e-06;2.67312;2e-06;1.67156;2e-06;0.0094605;2e-06;0.0453155;2e-06;0.0352999;1e-06;0.0274471;1e-06;37.842;1e-06;109.788;1e-06;181.262;1e-06
1;0.627409;2e-06;0;0;0;2e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;7e-06;0;1e-06;0;2e-06
1;0.627409;2e-06;0.0106441;2e-06;0.979805;2e-06;0.0094605;2e-06;-0.00614838;2e-06;0.00354323;2e-06;-0.00185277;2e-06;37.842;1e-06;-7.41107;1e-06;-24.5935;1e-06
1;0.627409;2e-06;1.37894;2e-06;1.4442;3e-06;0.0094605;2e-06;0.0259554;2e-06;0.026608;2e-06;-0.00602798;2e-06;37.842;2e-06;-24.1119;2e-06;103.822;2e-06
1;0.627409;2e-06;2.06507;2e-06;1.57194;2e-06;0.0094605;2e-06;0.0365782;2e-06;0.0316469;2e-06;0.00925863;2e-06;37.842;2e-06;37.0345;1e-06;146.313;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;2e-06;1.0295;2e-06;1.36912;2e-06;0.0094605;2e-06;0.0200379;2e-06;0.0234341;2e-06;-0.0110509;2e-06;37.842;2e-06;-44.2035;1e-06;80.1518;1e-06
1;0.627409;1e-06;0.591446;1e-06;1.25742;0;0.0094605;2e-06;0.0117145;2e-06;0.0183743;2e-06;-0.0136267;2e-06;37.842;2e-06;-54.507;2e-06;46.8581;1e-06
1;0.627409;1e-06;0;1e-06;0;0;0.0094605;2e-06;0;1e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;0.286246;2e-06;1.15534;2e-06;0.0094605;2e-06;0.00464954;2e-06;0.0133404;0;-0.0116046;1e-06;37.842;1e-06;-46.4186;1e-06;18.5981;1e-06
1;0.627409;1e-06;0;1e-06;0;0;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;2e-06;0.17581;2e-06;1.10648;1e-06;0.0094605;2e-06;0.00146512;1e-06;0.0107718;2e-06;-0.00947052;1e-06;37.842;1e-06;-37.8821;1e-06;5.86048;0
1;0.627409;1e-06;1.94245;1e-06;1.55053;0;0.0094605;1e-06;0.0347507;1e-06;0.0308314;0;0.00607854;1e-06;37.842;1e-06;24.3141;1e-06;139.003;2e-06
1;0.627409;2e-06;0.0235761;0;0.998987;1e-06;0.0094605;1e-06;-0.00505823;1e-06;0.00469588;1e-06;-0.00310421;1e-06;37.842;1e-06;-12.4168;0;-20.2329;2e-06
1;0.627409;2e-06;0;2e-06;0;1e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;2e-06;0;2e-06;0;1e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0.00832326;2e-06;0.975401;2e-06;0.0094605;1e-06;-0.00639536;1e-06;0.00327542;1e-06;-0.00156532;0;37.842;1e-06;-6.26127;1e-06;-25.5814;2e-06
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;2e-06;0;1e-06;0;1e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;0;0;1e-06;0;1e-06
1;0.627409;0;0;1e-06;0;1e-06;0.0094605;1e-06;0;0;0;1e-06;0;0;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;0.293814;2e-06;1.15834;2e-06;0.0094605;2e-06;0.00484945;1e-06;0.0134947;1e-06;-0.0117141;1e-06;37.842;1e-06;-46.8565;1e-06;19.3978;1e-06
1;0.627409;2e-06;4.71146;2e-06;1.95549;1e-06;0.0094605;1e-06;0.0721866;1e-06;0.0446268;1e-06;0.111157;0;37.842;1e-06;444.628;2e-06;288.746;2e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;2e-06;37.842;2e-06;0;1e-06;0;0
1;0.627409;0;0.0949341;1e-06;1.06062;0;0.0094605;2e-06;-0.00140172;2e-06;0.00825515;1e-06;-0.00696242;2e-06;37.842;2e-06;-27.8497;2e-06;-5.60688;1e-06
1;0.627409;1e-06;0.0700413;1e-06;1.04301;0;0.0094605;2e-06;-0.00247015;1e-06;0.0072595;1e-06;-0.00590193;2e-06;37.842;2e-06;-23.6077;2e-06;-9.88061;2e-06
1;0.627409;2e-06;0;2e-06;0;1e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;0
1;0.627409;1e-06;0;1e-06;0;0;0.0094605;1e-06;0;1e-06;0;0;0;1e-06;37.842;1e-06;0;0;0;1e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;2e-06;0.928938;2e-06;1.34562;2e-06;0.0094605;2e-06;0.018238;2e-06;0.0224049;2e-06;-0.0120592;1e-06;37.842;1e-06;-48.2367;1e-06;72.952;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;1e-06;0;0;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;0
1;0.627409;3e-06;0;2e-06;0;1e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;3e-06;0.520739;2e-06;1.23638;2e-06;0.0094605;2e-06;0.0102147;2e-06;0.0173712;2e-06;-0.0135198;3e-06;37.842;2e-06;-54.079;1e-06;40.859;1e-06
1;0.627409;2e-06;0.626632;2e-06;1.26748;1e-06;0.0094605;2e-06;0.0124396;2e-06;0.0188481;2e-06;-0.0136156;3e-06;37.842;2e-06;-54.4625;2e-06;49.7583;1e-06
1;0.627409;2e-06;0;1e-06;0;2e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;3e-06;0;2e-06
1;0.627409;2e-06;0;1e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0.0145601;0;0.986376;1e-06;0.0094605;1e-06;-0.00577754;1e-06;0.00394062;1e-06;-0.00228196;1e-06;37.842;1e-06;-9.12782;1e-06;-23.1102;1e-06
1;0.627409;2e-06;0.0200303;1e-06;0.994346;1e-06;0.0094605;1e-06;-0.00532411;1e-06;0.00441905;1e-06;-0.00280203;1e-06;37.842;2e-06;-11.2081;2e-06;-21.2964;1e-06
1;0.627409;2e-06;0.0402441;0;1.01742;0;0.0094605;1e-06;-0.00398867;0;0.00578313;0;-0.00429495;1e-06;37.842;2e-06;-17.1798;1e-06;-15.9547;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;2e-06;0;1e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;2e-06;0.369081;1e-06;1.1865;1e-06;0.0094605;2e-06;0.00674852;1e-06;0.0149227;1e-06;-0.0126049;1e-06;37.842;2e-06;-50.4196;0;26.9941;0
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;2e-06;0;1e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;2e-06;0;1e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;2e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;1e-06;0.00018896;1e-06;0.952204;0;0.0094605;1e-06;-0.00767572;1e-06;0.00184443;1e-06;-6.24311e-05;1e-06;37.842;2e-06;-0.249724;1e-06;-30.7029;1e-06
1;0.627409;1e-06;0;1e-06;0;0;0.0094605;2e-06;0;1e-06;0;0;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;1.8171;0;1.52808;1e-06;0.0094605;1e-06;0.0328545;1e-06;0.0299643;1e-06;0.00301584;1e-06;37.842;2e-06;12.0633;1e-06;131.418;1e-06
1;0.627409;2e-06;0;0;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;1.16241;1e-06;1.39876;0;0.0094605;1e-06;0.0223438;1e-06;0.0247072;1e-06;-0.00940216;3e-06;37.842;2e-06;-37.6086;1e-06;89.375;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;3e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;0;2e-06;0;1e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;1e-06;37.842;1e-06;0;0;0;1e-06
1;0.627409;1e-06;10.0174;1e-06;2.53675;1e-06;0.0094605;1e-06;0.134905;1e-06;0.0600989;1e-06;0.433632;1e-06;37.842;1e-06;1734.53;1e-06;539.621;1e-06
1;0.627409;2e-06;2.62532;2e-06;1.66407;0;0.0094605;1e-06;0.0446454;1e-06;0.0350329;1e-06;0.0258825;2e-06;37.842;2e-06;103.53;2e-06;178.582;1e-06
1;0.627409;2e-06;0;2e-06;0;1e-06;0.0094605;2e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;0;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;2e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;2e-06;0;1e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;3e-06;0;2e-06;0;1e-06
1;0.627409;1e-06;0.113383;2e-06;1.07232;2e-06;0.0094605;2e-06;-0.000682192;2e-06;0.00890714;1e-06;-0.00764006;1e-06;37.842;2e-06;-30.5602;1e-06;-2.72877;1e-06
1;0.627409;1e-06;0.350906;0;1.17995;1e-06;0.0094605;1e-06;0.00630338;0;0.0145938;1e-06;-0.0124205;2e-06;37.842;2e-06;-49.6822;2e-06;25.2135;1e-06
1;0.627409;2e-06;3.32966;2e-06;1.76977;2e-06;0.0094605;2e-06;0.054293;2e-06;0.0386942;2e-06;0.0509887;1e-06;37.842;3e-06;203.955;1e-06;217.172;1e-06
1;0.627409;2e-06;0;2e-06;0;1e-06;0.0094605;2e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;2e-06;0.0960848;1e-06;1.06138;0;0.0094605;1e-06;-0.00135529;1e-06;0.00829766;2e-06;-0.00700707;2e-06;37.842;2e-06;-28.0283;2e-06;-5.42116;1e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;3e-06;0;2e-06;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;2e-06;0;1e-06;0;0;0.0094605;1e-06;0;1e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;3e-06;0;2e-06;0;0
1;0.627409;2e-06;0.334977;1e-06;1.17409;1e-06;0.0094605;1e-06;0.00590664;1e-06;0.0142978;1e-06;-0.0122436;1e-06;37.842;1e-06;-48.9742;1e-06;23.6265;1e-06
1;0.627409;2e-06;0.689994;2e-06;1.285;2e-06;0.0094605;2e-06;0.0137142;2e-06;0.0196643;2e-06;-0.0134968;3e-06;37.842;2e-06;-53.9873;2e-06;54.857;2e-06
1;0.627409;2e-06;5.347;1e-06;2.0341;1e-06;0.0094605;1e-06;0.0800991;1e-06;0.04697;0;0.142876;1e-06;37.842;1e-06;571.505;2e-06;320.396;1e-06
1;0.627409;1e-06;0.0990937;1e-06;1.06334;1e-06;0.0094605;3e-06;-0.00123492;1e-06;0.00840758;1e-06;-0.00712222;1e-06;37.842;2e-06;-28.4889;1e-06;-4.93969;2e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;2e-06;2.4545;1e-06;1.63686;1e-06;0.0094605;1e-06;0.0422293;1e-06;0.034053;1e-06;0.0204712;1e-06;37.842;1e-06;81.8847;2e-06;168.917;2e-06
1;0.627409;2e-06;1.50504;2e-06;1.46932;2e-06;0.0094605;3e-06;0.0279903;2e-06;0.0276331;2e-06;-0.00370975;1e-06;37.842;2e-06;-14.839;1e-06;111.961;1e-06
1;0.627409;2e-06;0;1e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;0;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;1e-06;0;1e-06;0;0
